Main

['id']	ID
['externalId']	Внешнее_ID
['placementDate']	Дата_первоначального_размещения
['publishDate']	Дата_публикации
['versionNumber']	Номер_изменения
['region']	Регион
['customer']['regNum']	Заказчик_Реестровый_номер
['customer']['consRegistryNum']	Заказчик_Код_по_Сводному_Реестру
['customer']['fullName']	Заказчик_Полное_наименование
['customer']['shortName']	Заказчик_Сокращенное_наименование
['customer']['registrationDate']	Заказчик_Дата_постановки_на_учет_в_налоговом_органе
['customer']['inn']	Заказчик_ИНН
['customer']['kpp']	Заказчик_КПП
['customer']['legalForm']['singularName']	Организационно_правовая_форма_в_ОКОПФ
['customer']['singularName']	Заказчик_Организационно_правовая_форма_в_ОКОПФ
['customer']['OKPO']	Заказчик_Код_по_ОКПО
['customer']['customerCode']	Идентификационный_код_заказчика
['customer']['customerAccountsDetails']['customerAccountDetails']	Реквизиты_счета_заказчика
['placer']['responsibleOrg']['regNum']	Организация_разместившая_контракт_Код_по_СПЗ
['placer']['responsibleOrg']['consRegistryNum']	Организация_разместившая_контракт_Код_по_Сводному_Реестру
['placer']['responsibleOrg']['fullName']	Организация_разместившая_контракт_Полное_наименование
['placer']['responsibleRole']	Роль_организации_разместившей_контракт
['placer']['placerChange']	Смена_размещающей_организации
['foundation']__Foundation	Основание_заключения_контракта
['finances']__Finances	Финансирование
['protocolDate']	Дата_подведения_рез_ов_определения_поставщика
['documentBase']	Документ_основание_заключения_контракта
['documentCode']	Код_документа_основания_заключения_контракта
['signDate']	Дата_заключения_контракта
['regNum']	Номер_реестровой_записи
['number']	Номер_контракта
['contractSubject']	Предмет_контракта
['treasurySupportContractSum']	Сумма_казначейского_обеспечения_обязательств
['defenseContractNumber']	Номер_госконтракта_по_гособоронзаказу
['IGK']	Идентификатор_госконтракта
['priceInfo']['price']	Инфо_о_цене_Значение_цены_контракта_в_валюте_контракта
['priceInfo']['priceType']	Инфо_о_цене_Способ_указания_цены_контракта
['priceInfo']['priceFormula']	Инфо_о_цене_Формула_указания_цены_контракта
['priceInfo']['maxPriceAndPriceFormulaSpecified']	Инфо_о_цене_Указана_макс_цена_и_формула_цены_контракта
['priceInfo']['currency']['name']	Инфо_о_цене_Валюта_контракта
['priceInfo']['currencyRate']['rate']	Инфо_о_цене_Курс_валюты_по_отношению_к_рублю
['priceInfo']['priceRUR']	Инфо_о_цене_Цена_контракта_в_рублевом_эквиваленте
['priceInfo']['priceVAT']	Инфо_о_цене_Значение_НДС_в_валюте_контракта
['priceInfo']['priceVATRUR']	Инфо_о_цене_Значение_НДС_в_рублевом_эквиваленте
['priceInfo']['amountsReducedByTaxes']	Инфо_о_цене_Суммы_уплачиваемые_заказчиком_поставщику
['priceInfo']['isWithHoldingUnfulfilledClaimsPenalties']	Инфо_о_цене_Предусмотр_удерж_суммы_неисполн_требований
['advancePaymentSum']['sumInPercents']	Размер_аванса_в_процентах
['advancePaymentSum']['priceValue']	Размер_аванса_в_валюте_контракта
['advancePaymentSum']['priceValueRUR']	Размер_аванса_в_рублевом_эквиваленте
['subContractorsSum']__SubContractorsSum	Объем_привлечения_субподрядчиков
['quantityContractStages']	Количество_этапов_контракта
['executionPeriod']['startDate']	Дата_начала_исполнения_контракта
['executionPeriod']['stages']['sid']	Уникальный_идентификатор_этапа_контракта_в_ЕИС
['executionPeriod']['stages']['externalSid']	Внешний_идентификатор_этапа
['executionPeriod']['stages']['guid']	GUID_этапа_контракта
['executionPeriod']['stages']['startDate']	Дата_начала_исполнения_этапа
['executionPeriod']['stages']['endDate']	Дата_окончания_исполнения_этапа
